Host,Nematodes Rhabditida,Parasite,Family,Genus,Species_clean,Synonyms,Refs,Location,R_1,R_2,R_3,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,R_11,R_12
Equus asinus,Strongylida,"Triodontophorus tenuicollis Boulenger, 1916",Strongylidae,Triodontophorus,Triodontophorus tenuicollis,,3,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Tunisostertagia heterospiculum Bernard, 1987",Trichostrongylidae,Ostertagia,Ostertagia heterospiculum,Tunisostertagia heterospiculum,1,,,,,,,,,,,,,,
Equus burchelli,Strongylida,Cylindropharynx sp.,Strongylidae,Cylindropharynx,Cylindropharynx sp.,,2,"Zimbabwe, Namibia","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",LeRoux (1955a),,,,,,,,,,,
Equus grevyi,Strongylida,Cylindropharynx ornata,Strongylidae,Cylindropharynx,Cylindropharynx ornata,,1,USA,"Cram (1924), USDA, Bethesda, Maryland, USA",,,,,,,,,,,,
Bos taurus,Strongylida,"Ostertagia buriatica Konstantinova, 1934",Trichostrongylidae,Ostertagia,Ostertagia buriatica,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Ostertagia circumcincta (Stadelman, 1894)",Trichostrongylidae,Ostertagia,Ostertagia circumcincta,,8,,,,,,,,,,,,,,
Equus grevyi,Strongylida,Tridontophorus tenuicollis,Strongylidae,Triodontophorus,Triodontophorus tenuicollis,,1,Giza Zoo,"Ezzat (1945), Giza Zoological Gardens",,,,,,,,,,,,
Equus grevyi,Strongylida,Tridontophorus sp.,Strongylidae,Triodontophorus,Triodontophorus sp.,,1,London Zoo,"Porter (1948), London Zoo",,,,,,,,,,,,
Syncerus caffer,Strongylida,"Gaigeria pachyscelis Railliet & Henry, 1910",Ancyclostomatidae,Gaigeria,Gaigeria pachyscelis,,1,Congo,Diaoure (1964),,,,,,,,,,,,
Bos taurus,Strongylida,"Ostertagia crimensis Kadenacil & Andreeva, 1958",Trichostrongylidae,Ostertagia,Ostertagia crimensis,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Ostertagia gruehneri Skrjabin, 1929",Trichostrongylidae,Ostertagia,Ostertagia gruehneri,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Ostertagia kolchida Popova, 1937",Trichostrongylidae,Ostertagia,Ostertagia kolchida,,6,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Ostertagia leptospicularis Assadov, 1953",Trichostrongylidae,Ostertagia,Ostertagia leptospicularis,,11,,,,,,,,,,,,,,
Nanger granti,Strongylida,Muelleris capillaris (Muller 1889),Protostrongylidae,Muelleris,Muelleris capillaris,,1,Kenya,"Department of Veterinary Services, Kenya, Laboratory Records, 1938",,,,,,,,,,,,
Bos taurus,Strongylida,"Ostertagia lyrata Sjoberg, 1926",Trichostrongylidae,Ostertagia,Ostertagia lyrata,,15,,,,,,,,,,,,,,
Aepyceros melampus,Strongylida,Muelleris capillaris (Muller 1889),Protostrongylidae,Muelleris,Muelleris capillaris,,1,Kenya,"Department of Veterinary Services, Kenya, Laboratory Records, 1938",,,,,,,,,,,,
Syncerus caffer,Strongylida,"Cooperia punctata (Linstow, 1906)",Cooperiidae,Cooperia,Cooperia punctata,,2,"Zimbabwe, Johannesburg Zoo","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",LeRoux (1930b),,,,,,,,,,,
Nanger granti,Strongylida,"Haemonchus contortus (Rudolphi, 1803)",Trichostrongylidae,Haemonchus,Haemonchus contortus,Haemonchus okapiae,2,Kenya,"Department of Veterinary Services, Kenya, Laboratory Records, 1938",Urquhart et al (1960),,,,,,,,,,,
Oryx gazella,Strongylida,Haemonchus sp.,Trichostrongylidae,Haemonchus,Haemonchus sp.,,2,South Africa,"Fourie, L. J., Vrahimis, S., Horak, I. G., Terblanche, H. J. and O. B. Kok (1991) Ecto- and endoparasites of introduced gemsbok in the Orange Free State. South African Journal of Wildlife Research, 21: 82-87.","Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.",,,,,,,,,,,
Oryx gazella,Strongylida,Haemonchus bedfordi,Trichostrongylidae,Haemonchus,Haemonchus bedfordi,,3,"South Africa, Johannesburg Zoo","Fourie, L. J., Vrahimis, S., Horak, I. G., Terblanche, H. J. and O. B. Kok (1991) Ecto- and endoparasites of introduced gemsbok in the Orange Free State. South African Journal of Wildlife Research, 21: 82-87.","Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.",LeRoux (1930b),,,,,,,,,,
Oryx gazella,Strongylida,Haemonchus contortus,Trichostrongylidae,Haemonchus,Haemonchus contortus,,4,"South Africa, Johannesburg Zoo","Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.","Mares, R C, Amaral, L, and Fachada, L C (1984) Helminth parasites of game in Transkei. Journal of South African Veterinary Association, 55: 73-74","Fourie, L. J., Vrahimis, S., Horak, I. G., Terblanche, H. J. and O. B. Kok (1991) Ecto- and endoparasites of introduced gemsbok in the Orange Free State. South African Journal of Wildlife Research, 21: 82-87.",LeRoux (1930b),,,,,,,,,
Bos taurus,Strongylida,"Ostertagia ostertagi (Stiles, 1892)",Trichostrongylidae,Ostertagia,Ostertagia ostertagi,,114,,,,,,,,,,,,,,
Bos taurus,Strongylida,Ostertagia sp.,Trichostrongylidae,Ostertagia,Ostertagia sp.,,12,,,,,,,,,,,,,,
Bos taurus,Strongylida,Ostertagia spp.,Trichostrongylidae,Ostertagia,Ostertagia sp.,,7,,,,,,,,,,,,,,
Camelus dromedarius,Strongylida,"Ostertagia trifida Cuille et al., 1911",Trichostrongylidae,Ostertagia,Ostertagia trifida,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Ostertagia trifurcata Ransom, 1907",Trichostrongylidae,Ostertagia,Ostertagia trifurcata,,5,,,,,,,,,,,,,,
Alcelaphus buselaphus,Strongylida,Teladorsagia circumcincta,Trichostrongylidae,Teladorsagia,Teladorsagia circumcincta,,1,South Africa,"Mares, R C, Amaral, L, and Fachada, L C (1984) Helminth parasites of game in Transkei. Journal of South African Veterinary Association, 55: 73-74",,,,,,,,,,,,
Aepyceros melampus,Strongylida,Ostertagia sp.,Trichostrongylidae,Ostertagia,Ostertagia sp.,,2,"South Africa, Uganda","(Boomker, J., et al.,) (1989) 'Parasites of South African wildlife. III. Helminths of common reedbuck, Redunca arundinum, in Natal.' Onderstepoort Journal of Veterinary Research. Pretoria 56(1): 51-57 , 2 figs. 4 tabs.",Ortlepp (1961a),,,,,,,,,,,
Oryx gazella,Strongylida,"Ostertagia ostertagi (Stiles, 1892)",Trichostrongylidae,Ostertagia,Ostertagia ostertagi,,1,South Africa,"Boomker, J., Horak, I. G., Watermeyer, R., and D. G. Booyse (2000) Parasites of South African wildlife. XVI. Helminths of some antelope species from the Eastern and Western Cape Provinces. Onderstepoort Journal of Veterinary Research, 67: 31-41",,,,,,,,,,,,
Taurotragus oryx,Strongylida,Ostertagia circumcincta,Trichostrongylidae,Ostertagia,Ostertagia circumcincta,,3,"Zambia, South Africa",LeRoux (1929a),LeRoux (1932),LeRoux (1950a),,,,,,,,,,
Syncerus caffer,Strongylida,"Ashworthius lerouxi Diaoure, 1964",Trichostrongylidae,Ashworthius,Ashworthius lerouxi,,2,"Uganda, Congo","(Lichtenfels, J.R., Pilitt, P.A. & Gibbons, L.M.,) (2003) 'Ovejector structure in the Haemonchinae (Nematoda: Trichostrongyloidea) of ruminants.' Journal of Parasitology. Urbana, Ill. 89(5): 984-993. , 25 figs, 1 tab.",Diaoure (1964),,,,,,,,,,,
Equus asinus,Strongylida,"Necator americanus (Stiles, 1902)",Ancyclostomatidae,Necator,Necator americanus,,1,,,,,,,,,,,,,,
Giraffa camelopardalis,,Chabertiella pesteri (Tadros 1964),Strongylidae,Chabertiella,Chabertiella pesteri,,1,Kenya,Tadros (1964a),,,,,,,,,,,,
Oryx gazella,Nematodes Rhabditida,Haemonchus mitchelli,Trichostrongylidae,Haemonchus,Haemonchus mitchelli,,1,South Africa,"Fourie, L. J., Vrahimis, S., Horak, I. G., Terblanche, H. J. and O. B. Kok (1991) Ecto- and endoparasites of introduced gemsbok in the Orange Free State. South African Journal of Wildlife Research, 21: 82-87.",,,,,,,,,,,,
Syncerus caffer,Nematodes Rhabditida,"Haemonchus bedfordi Le Roux, 1929",Trichostrongylidae,Haemonchus,Haemonchus bedfordi,,5,"Zimbabwe, Uganda, South Africa, Johannesburg Zoo","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",Dinnik et al. (1963),LeRoux (1929a),LeRoux (1930b),Ortlepp (1961a),,,,,,,,
Syncerus caffer,Nematodes Rhabditida,"Haemonchus contortus (Rudolphi, 1803)",Trichostrongylidae,Haemonchus,Haemonchus contortus,,4,"Uganda, Zimbabwe, South Africa, Johannesburg Zoo","(Lichtenfels, J.R., Pilitt, P.A. & Hoberg, E.P.,) (1994) 'New morphological characters for identifying individual specimens of Haemonchus spp. (Nematoda: Trichostrongyloidea) and a key to species in ruminants of North America.' Journal of Parasitology. Urbana, Ill. 80(1): 107-119 , 30 figs, 3 tabs","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",Curson (1928),LeRoux (1930b),,,,,,,,,
Giraffa camelopardalis,Nematodes Strongylida,Cyclistomum equi,Strongylidae,Cyclistomum,Cyclistomum equi,,1,London Zoo,Porter (1943 and 1944),,,,,,,,,,,,
Giraffa camelopardalis,Nematodes Strongylida,Cyclistomum sp.,Strongylidae,Cyclistomum,Cyclistomum sp.,,1,London Zoo,Porter (1946),,,,,,,,,,,,
Syncerus caffer,Nematodes Rhabditida,Haemonchus sp.,Trichostrongylidae,Haemonchus,Haemonchus sp.,,1,Zimbabwe,"(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",,,,,,,,,,,,
Taurotragus oryx,Nematodes Rhabditida,"Haemonchus mitchelli Le Roux, 1929",Trichostrongylidae,Haemonchus,Haemonchus mitchelli,,9,"South Africa, Zimbabwe, Zambia, Uganda, Kenya","(Lichtenfels, J.R., Pilitt, P.A., Gibbons, L.M. & Hoberg, E.P.,) (2002) 'Redescriptions of Haemonchus mitchelli and Haemonchus okapiae (Nematoda: Trichostrongylooidea) and description of a unique synlophe for the Haemochinae.' Journal of Parasitology. Urbana, Ill. 88(5): 947-960 , 49 figs.","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32","Boomker, J., Horak, I. G., Watermeyer, R., and D. G. Booyse (2000) Parasites of South African wildlife. XVI. Helminths of some antelope species from the Eastern and Western Cape Provinces. Onderstepoort Journal of Veterinary Research, 67: 31-41",LeRoux (1929a),Ortlepp (1961a),LeRoux (1932),LeRoux (1950a),Mettam (1932),Monnig (1933a),,,,
Giraffa camelopardalis,Nematodes Rhabditida,Monodontella giraffe,Ancyclostomatidae,Monodontella,Monodontella giraffe,"Monodontus giraffae, Gaigeria giraffae",6,"South Africa, Philadelphia Zoo, Kenya, Stuttgart Zoo","Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.",Canvan (1929),Round (Original),Teuscher (1955),Weidman (1923),Frank et al (1963),,,,,,,
Aepyceros melampus,Nematodes Rhabditida,Trichostrongylus angistris,Trichostrongylidae,Trichostrongylus,Trichostrongylus angistris,,1,"South Africa, Uganda","(Boomker, J., et al.,) (1989) 'Parasites of South African wildlife. III. Helminths of common reedbuck, Redunca arundinum, in Natal.' Onderstepoort Journal of Veterinary Research. Pretoria 56(1): 51-57 , 2 figs. 4 tabs.",,,,,,,,,,,,
Aepyceros melampus,Nematodes Rhabditida,"Trichostrongylus colubriformis (Giles, 1892)",Trichostrongylidae,Trichostrongylus,Trichostrongylus colubriformis,,6,"Zimbabwe, South Africa","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",Helminth parasites of cattle and antelope in a mixed farming system in Zimbabwe.,"Anderson, I. G. (1982) The prevalence of helminths in impala Aepyceros melampus (Lichtenstein 1812) under game ranching conditions. South African Journal of wildlife Research, 13: 55-70.","Horak, I. G., Boomker, J., Kingsley, S., and V. De Vos (1983) The efficacy of ivermectin against helminth and arthropod parasites of impala. Journal of the South African Veterinary Association, 54: 251-253",Meeser (1952),Round (Original),,,,,,,
Taurotragus oryx,Nematodes Rhabditida,"Haemonchus bedfordi Le Roux, 1929",Trichostrongylidae,Haemonchus,Haemonchus bedfordi,,2,"Zimbabwe, South Africa","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32","Mares, R C, Amaral, L, and Fachada, L C (1984) Helminth parasites of game in Transkei. Journal of South African Veterinary Association, 55: 73-74",,,,,,,,,,,
Taurotragus oryx,Nematodes Rhabditida,"Haemonchus contortus (Rudolphi, 1803)",Trichostrongylidae,Haemonchus,Haemonchus contortus,,4,"Zimbabwe, Zambia, Kenya, Congo","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32","Zieger, U., Boomker, J., Cauldwell, A. E., and I. G. Horak (1998) Helminths and bot fly larvae of wild ungulates on a game ranch in Central Province, Zambia. Onderstepoort Journal of Veterinary Research, 65: 137-141",Monnig (1933a),Gutterres (1947),,,,,,,,,
Loxodonta africana,Nematodes Strongylida,Khalilia buta,Strongylidae,Khalilia,Khalilia buta,Amira buta,1,Congo,Vuylsteke (1953),,,,,,,,,,,,
Loxodonta africana,Nematodes Strongylida,Khalilia sameera,Strongylidae,Khalilia,Khalilia sameera,Amira sameera,4,"Tanzania, South Africa",Baylis (1923c),Khalil (1922b),Monnig (1926b),Westhuysen (1938),,,,,,,,,
Phaecochoerus aethiopicus,Nematodes Rhabditoidea,Necator sp.,Ancyclostomatidae,Necator,Necator sp.,,1,Sudan,Myers et al. (1960),,,,,,,,,,,,
Loxodonta africana,Nematodes Strongylida,Murshidia anisa,Strongylidae,Murshidia,Murshidia anisa,,4,"Kenya, Uganda","Department of Veterinary Services, Kenya, Laboratory Records, 1938",Khalil (1922b),Khalil (1922a),Westhuysen (1938),,,,,,,,,
Loxodonta africana,Nematodes Strongylida,Murshidia aziza,Strongylidae,Murshidia,Murshidia aziza,Murshidia loxodontae,4,"Uganda, Sudan",Khalil (1922a),Khalil (1922b),Neveu-Lemaire (1928b),Westhuysen (1938),,,,,,,,,
Loxodonta africana,Nematodes Strongylida,Murshidia brachyscelis,Strongylidae,Murshidia,Murshidia brachyscelis,,2,South Africa,Monnig (1926a),Westhuysen (1938),,,,,,,,,,,
Loxodonta africana,Nematodes Strongylida,Murshidia brevicapsulatus,Strongylidae,Murshidia,Murshidia brevicapsulatus,,2,South Africa,Monnig (1926a),Westhuysen (1938),,,,,,,,,,,
Loxodonta africana,Nematodes Strongylida,Murshidia dawoodi,Strongylidae,Murshidia,Murshidia dawoodi,,3,"Liberia, Congo Zoo",Khalil (1932),Westhuysen (1938),Chabaud and Rousselot (1956a),,,,,,,,,,
Loxodonta africana,Nematodes Strongylida,Murshidia longicaudata,Strongylidae,Murshidia,Murshidia longicaudata,,6,"Congo, Sudan",Schouteden (1930),Vuylsteke (1956),Vuylsteke (1935b),Vuylsteke (1953),Neveu-Lemaire (1928b),Westhuysen (1938),,,,,,,
Loxodonta africana,Nematodes Strongylida,Murshidia neveulemairei,Strongylidae,Murshidia,Murshidia neveulemairei,,1,Congo,Vulsteke (1953),,,,,,,,,,,,
Loxodonta africana,Nematodes Strongylida,Murshidia omoensis,Strongylidae,Murshidia,Murshidia omoensis,,2,Sudan,Neveu-Lemaire (1928b),Westhuysen (1938),,,,,,,,,,,
Loxodonta africana,Nematodes Strongylida,Mushidia soudanensis,Strongylidae,Murshidia,Mushidia soudanensis,Murshidia brevicaudata,2,Sudan,Neveu-Lemaire (1928b),Westhuysen (1938),,,,,,,,,,,
Loxodonta africana,Nematodes Strongylida,Murshidia vuylistekae,Strongylidae,Murshidia,Murshidia vuylistekae,,1,Congo Zoo,Chabaud and Rousselot (1956a),,,,,,,,,,,,
Loxodonta africana,Nematodes Strongylida,Murshidia witenbergi,Strongylidae,Murshidia,Murshidia witenbergi,,1,Congo Zoo,Chabaud and Rousselot (1956a),,,,,,,,,,,,
Aepyceros melampus,Nematodes Rhabditida,"Trichostrongylus deflexus Boomker & Reinecke, 1989",Trichostrongylidae,Trichostrongylus,Trichostrongylus deflexus,,1,South Africa,"(Boomker, J., et al.,) (1989) 'Parasites of South African wildlife. III. Helminths of common reedbuck, Redunca arundinum, in Natal.' Onderstepoort Journal of Veterinary Research. Pretoria 56(1): 51-57 , 2 figs. 4 tabs.",,,,,,,,,,,,
Aepyceros melampus,Nematodes Rhabditida,"Trichostrongylus falculatus Ransom, 1911",Trichostrongylidae,Trichostrongylus,Trichostrongylus falculatus,,3,"Zimbabwe, South Africa","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32","Horak, I. G., Boomker, J., Kingsley, S., and V. De Vos (1983) The efficacy of ivermectin against helminth and arthropod parasites of impala. Journal of the South African Veterinary Association, 54: 251-253","Anderson, I. G. (1982) The prevalence of helminths in impala Aepyceros melampus (Lichtenstein 1812) under game ranching conditions. South African Journal of wildlife Research, 13: 55-70.",,,,,,,,,,
Aepyceros melampus,Nematodes Rhabditida,"Trichostrongylus instabilis (Railliet, 1893)",Trichostrongylidae,Trichostrongylus,Trichostrongylus instabilis,,1,South Africa,"(Boomker, J., et al.,) (1989) 'Parasites of South African wildlife. III. Helminths of common reedbuck, Redunca arundinum, in Natal.' Onderstepoort Journal of Veterinary Research. Pretoria 56(1): 51-57 , 2 figs. 4 tabs.",,,,,,,,,,,,
Aepyceros melampus,Nematodes Rhabditida,Trichostrongylus sp.,Trichostrongylidae,Trichostrongylus,Trichostrongylus sp.,,2,"Uganda, South Africa, Zimbabwe","(Ocaido, M., Siefert, L. & Baranga, J.,) (1999) 'Seasonal changes of impala (Aepyceros melampus, Lichtenstein, 1812) faecal egg counts through a one-year period.' African Journal of Ecology 37: 327-333 , 4 figs.",Helminth parasites of cattle and antelope in a mixed farming system in Zimbabwe.,,,,,,,,,,,
Loxodonta africana,Nematodes Strongylida,Quilonia apiensis,Strongylidae,Quilonia,Quilonia apiensis,,6,"Tanzania, Congo, Kenya, Uganda",Baylis (1923c),Gedoelst (1916),"Department of Veterinary Servics, Kenya, Laboratory Records, 1945",Khalil (1922b),Vuylsteke (1935b),Westhuysen (1938),,,,,,,
Loxodonta africana,Nematodes Strongylida,Quilonia brevicauda,Strongylidae,Quilonia,Quilonia brevicauda,,2,Uganda,Khalil (1922b),Westhuysen (1938),,,,,,,,,,,
Loxodonta africana,Nematodes Strongylida,Quilonia crenelata,Strongylidae,Quilonia,Quilonia crenelata,,1,Congo,Vulsteke (1953),,,,,,,,,,,,
Loxodonta africana,Nematodes Strongylida,Quilonia ethiopica,Strongylidae,Quilonia,Quilonia ethiopica,,3,"Uganda, Liberia",Khalil (1922b),Khalil (1932),,,,,,,,,,,
Loxodonta africana,Nematodes Strongylida,Quilonia khalili,Strongylidae,Quilonia,Quilonia khalili,,2,Sudan,Neveu-Lemaire (1928a),Westhuysen (1938),,,,,,,,,,,
Loxodonta africana,Nematodes Strongylida,Quilonia loxodontae,Strongylidae,Quilonia,Quilonia loxodontae,,3,"Sudan, Congo",Neveu-Lemaire (1928a),Westhuysen (1938),Vuylsteke (1953),,,,,,,,,,
Loxodonta africana,Nematodes Strongylida,Quilonia magna,Strongylidae,Quilonia,Quilonia magna,,3,"Congo Zoo, Sudan",Chabaud and Rousselot (1956a),Neveu-Lemaire (1928a),Westhuysen (1938),,,,,,,,,,
Loxodonta africana,Nematodes Strongylida,Quilonia spiculodentata,Strongylidae,Quilonia,Quilonia spiculodentata,,1,Congo Zoo,Chabaud and Rousselot (1956a),,,,,,,,,,,,
Loxodonta africana,Nematodes Strongylida,Quilonia uganda,Strongylidae,Quilonia,Quilonia uganda,,8,"Congo, Uganda, Sudan",van den Berghe (1943),Jadin and Delperdange (1939),Khalil (1922a),Khalil (1922b),Neveu-Lemaire (1928a),Westhuysen (1938),Vuylsteke (1953),Vuylsteke (1956),,,,,
Taurotragus oryx,Nematodes Rhabditida,Haemonchus sp.,Trichostrongylidae,Haemonchus,Haemonchus sp.,,1,Zimbabwe,"(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",,,,,,,,,,,,
Taurotragus oryx,Nematodes Rhabditida,"Haemonchus vegliai Le Roux, 1929 ",Trichostrongylidae,Haemonchus,Haemonchus vegliai,,2,"Zimbabwe, South Africa","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",Ortlepp (1961a),,,,,,,,,,,
Equus grevyi,Nematodes Rhabditoidea,"Halicephalobus gingivalis (Stefanski, 1954)",Panagrolaimidae,Halicephalobus,Halicephalobus gingivalis,,1,Florida Zoo,"(Isaza, R., et al.,) (2000) 'Halicephalobus gingivalis (Nematoda) infection in Grevy's zebra (Equus grevyi).' Journal of Zoo and Wildlife Medicine 31(1): 77-81",,,,,,,,,,,,
Equus asinus,Nematodes Strongyloidea,"Hsiungia pekingensis (K'ung & Yang, 1964)",Strongylidae,Hsiungia,Hsiungia pekingensis,,1,,,,,,,,,,,,,,
Bos taurus,Nematodes Trichostrongyloidea,"Hyostrongylus rubidus (Hassal & Stiles, 1892)",Trichostrongylidae,Hyostrongylus,Hyostrongylus rubidus,,1,,,,,,,,,,,,,,
Bos taurus,Nematodes Trichostrongyloidea,Impalaia nudicollis,Trichostrongylidae,Impalaia,Impalaia nudicollis,,1,,,,,,,,,,,,,,
Camelus dromedarius,Nematodes Trichostrongyloidea,Impalaia nudicollis,Trichostrongylidae,Impalaia,Impalaia nudicollis,,1,,,,,,,,,,,,,,
Camelus dromedarius,Nematodes Trichostrongyloidea,Impalaia spp.,Trichostrongylidae,Impalaia,Impalaia sp.,,1,,,,,,,,,,,,,,
Madoqua saltiana,Nematodes Trichostrongyloidea,"Impalaia tuberculata (Monnig, 1924)",Trichostrongylidae,Impalaia,Impalaia tuberculata,,2,Somalia,"(Iori, A. & Lanfranchi, P.,) (1994) 'Nematodes in wild mammals from Somalia.' Parassitologia. Roma 36 Suppl. 1: 82","(Iori, A. & Lanfranchi, P.,) (1996) 'Contribution to the knowledge of helminthofauna of wild mammals of Somalia.' Parassitologia. Roma 38(3): 511-515 , 2 figs.",,,,,,,,,,,
Camelus dromedarius,Nematodes Trichostrongyloidea,"Impalaia tuberculata (Monnig, 1924)",Trichostrongylidae,Impalaia,Impalaia tuberculata,,1,,,Top,,,,,,,,,,,
Aepyceros melampus,Nematodes Rhabditida,Impalaia sp.,Trichostrongylidae,Impalaia,Impalaia sp.,,1,Zimbabwe,Helminth parasites of cattle and antelope in a mixed farming system in Zimbabwe.,,,,,,,,,,,,
Bos taurus,Nematodes Trichostrongyloidea,"Mecistocirrus digitatus (Linstow, 1906)",Trichostrongylidae,Mecistocirrus,Mecistocirrus digitatus,,17,,,,,,,,,,,,,,
Bos taurus,Nematodes Trichostrongyloidea,Mecistocirrus sp.,Trichostrongylidae,Mecistocirrus,Mecistocirrus sp.,,2,,,,,,,,,,,,,,
Bos taurus,Nematodes Trichostrongyloidea,"Marshallagia marshalli (Ransom, 1907)",Trichostrongylidae,Marshallagia,Marshallagia marshalli,,4,,,,,,,,,,,,,,
Camelus dromedarius,Nematodes Trichostrongyloidea,"Marshallagia marshalli (Ransom, 1907)",Trichostrongylidae,Marshallagia,Marshallagia marshalli,,2,,,,,,,,,,,,,,
Bos taurus,Nematodes Trichostrongyloidea,"Marshallagia mongolica Shumakovich, 1938",Trichostrongylidae,Marshallagia,Marshallagia mongolica,,1,,,,,,,,,,,,,,
Bos taurus,Nematodes Trichostrongyloidea,"Marshallagia occidentalis (Ransom, 1907)",Trichostrongylidae,Marshallagia,Marshallagia occidentalis,,1,,,,,,,,,,,,,,
Bos taurus,Nematodes Trichostrongyloidea,Marshallagia sp.,Trichostrongylidae,Marshallagia,Marshallagia sp.,,1,,,,,,,,,,,,,,
Camelus dromedarius,Nematodes Trichostrongyloidea,Marshallagia spp.,Trichostrongylidae,Marshallagia,Marshallagia sp.,,1,,,,,,,,,,,,,,
Aepyceros melampus,Nematodes Rhabditida,"Trichostrongylus thomasi Monnig, 1932",Trichostrongylidae,Trichostrongylus,Trichostrongylus thomasi,,7,"South Africa, Zimbabwe","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32","(Boomker, J., et al.,) (1989) 'Parasites of South African wildlife. III. Helminths of common reedbuck, Redunca arundinum, in Natal.' Onderstepoort Journal of Veterinary Research. Pretoria 56(1): 51-57 , 2 figs. 4 tabs.",Helminth parasites of cattle and antelope in a mixed farming system in Zimbabwe.,"Horak, I. G., Boomker, J., Kingsley, S., and V. De Vos (1983) The efficacy of ivermectin against helminth and arthropod parasites of impala. Journal of the South African Veterinary Association, 54: 251-253",Monnig (1932b),Monnig (1933a),Ortlepp (1961a),,,,,,
Camelus dromedarius,Nematodes Trichostrongyloidea,"Nematodirella cameli (Rajevskaja & Badanin, 1933)",Trichostrongylidae,Nematodirella,Nematodirella cameli,,2,,,,,,,,,,,,,,
Oryx gazella,Nematodes Rhabditida,Paracooperia serrata,Cooperiidae,Paracooperia,Paracooperia serrata,,2,South Africa,"Fourie, L. J., Vrahimis, S., Horak, I. G., Terblanche, H. J. and O. B. Kok (1991) Ecto- and endoparasites of introduced gemsbok in the Orange Free State. South African Journal of Wildlife Research, 21: 82-87.","Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.",,,,,,,,,,,
Aepyceros melampus,Nematodes Rhabditida,Trichostrongylus axei,Trichostrongylidae,Trichostrongylus,Trichostrongylus axei,,1,South Africa,"Anderson, I. G. (1982) The prevalence of helminths in impala Aepyceros melampus (Lichtenstein 1812) under game ranching conditions. South African Journal of wildlife Research, 13: 55-70.",,,,,,,,,,,,
Alcelaphus buselaphus,Nematodes Rhabditida,Trichostrongylus sp.,Trichostrongylidae,Trichostrongylus,Trichostrongylus sp.,,1,South Africa,"Mares, R C, Amaral, L, and Fachada, L C (1984) Helminth parasites of game in Transkei. Journal of South African Veterinary Association, 55: 73-74",,,,,,,,,,,,
