"Date","Period","Status","Treatment","X.","Tsect","Side","Dist","Elephant","Zebra","Giraffe","Hare","Cow","Buffalo","Impala","Rhino","Gazelle","Eland","Warthog","Eegg","Emult","Begg","Bmult","Cegg","Cmult","Zegg","Zmult","Iegg","Imult","Gegg","Gmult","Gagg","Gamult","Elegg","Elmult","all"
"9/24/2016",0,"Pre","CONT","Kambi","A",0,30,0,0,0,0,0,128,0,0,0,0,0,0,0,12.1465591594836,1554.7595724139,0,0,0,0,0,0,0,0,0,0,0,0,1554.7595724139
"9/24/2016",0,"Pre","CONT","Kambi","A",0,40,0,0,0,0,0,64,0,0,0,0,0,0,0,12.1465591594836,777.379786206948,0,0,0,0,0,0,0,0,0,0,0,0,777.379786206948
"9/24/2016",0,"Pre","CONT","Kambi","A",0,50,0,0,0,0,0,256,0,0,0,0,0,0,0,12.1465591594836,3109.51914482779,0,0,0,0,0,0,0,0,0,0,0,0,3109.51914482779
"9/24/2016",0,"Pre","CONT","Kambi","A",0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","A",0,70,512,0,0,0,0,0,0,0,0,0,0,536.364269153717,274618.505806703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274618.505806703
"9/24/2016",0,"Pre","CONT","Kambi","A",0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","A",0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","A",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","A",0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","A",0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","A",0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","A",0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","A",0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","B",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","B",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","B",0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","B",0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/24/2016",0,"Pre","CONT","Kambi","B",0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
