Host	Parasite	Reference	Is Prevalence Reported?	Is Prevalence Zero?
Sylvicapra grimmia	Cooperia	Boomker, J., Keep, M. E. and I. G. Horak (1987) Parasites of South African wildlife. I. Helminths of bushbuck, Tragelaphus scriptus, and grey duiker, Sylvicapra grimmia, from the Weza State Forest, Natal. Onderstepoort Journal of Veterinary Research, 54: 131-134.	yes	no
Tragelaphus angasii	Paracooperia horaki	Boomker, J., Booyse, D. G., Watermeyer, R., De Villiers, I. L., Horak, I. G., and J. R. B. Flamand (1996) Parasites of South African wildlife. XIV. Helminths of nyalas (Tragelaphus angasii) in the Mkuzi Game Reserve, KwaZulu-Natal. Onderstepoort Journal of Veterinary Research, 63: 265-271.	yes	no
Sylvicapra grimmia	Cooperia hungi	Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.	yes	no
Kobus ellipsiprymnus	Cooperia yoshidai	Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.	yes	no
Sus scrofa	Cooperia pectinata	McKenzie, M. E. and W. R. Davidson (1989). "Helminth Parasites of Intermingling Axis Deer, Wild Swine and Domestic Cattle from the Island of Molokai, Hawaii USA." Journal of Wildlife Diseases 25(2): 252-257.	yes	yes
Tragelaphus strepsiceros	Cooperia neitzi	Boomker, J., Anthonissen, M., and I. G. Horak (1988) Parasites of South african Wildlife. II. Helminths of kudu, Tragelaphus strepsiceros, from South West Africa/Namibia. Onderstepoort Journal of Veterinary Research, 55: 231-233	yes	no
Tragelaphus strepsiceros	Cooperia punctata	Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.	yes	no
Oryx gazella	Cooperia	Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.	yes	no
Tragelaphus scriptus	Paracooperia devossi	Boomker, J., Keep, M. E. and I. G. Horak (1987) Parasites of South African wildlife. I. Helminths of bushbuck, Tragelaphus scriptus, and grey duiker, Sylvicapra grimmia, from the Weza State Forest, Natal. Onderstepoort Journal of Veterinary Research, 54: 131-134.	yes	no
Taurotragus oryx	Cooperia rotundispiculum	Zieger, U., Boomker, J., Cauldwell, A. E., and I. G. Horak (1998) Helminths and bot fly larvae of wild ungulates on a game ranch in Central Province, Zambia. Onderstepoort Journal of Veterinary Research, 65: 137-141	yes	no
Redunca arundinum	Cooperia rotundispiculum	Zieger, U., Boomker, J., Cauldwell, A. E., and I. G. Horak (1998) Helminths and bot fly larvae of wild ungulates on a game ranch in Central Province, Zambia. Onderstepoort Journal of Veterinary Research, 65: 137-141	yes	no
Bison bonasus	Cooperia oncophora	Drozdz, J., A. W. Demiaszkiewicz, et al. (1989a). "The Helminth Fauna of Free-Ranging European Bison Bison bonasus (L.)" Acta Parasitologica Polonica 34(2): 117-124.	yes	no
Ourebia ourebi	Cooperia fuelleborni	Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.	yes	no
Aepyceros melampus	Cooperia yoshidai	Boomker, J, Horak, I G, Flamand, J R B, and Keep, M E (1989) Parasites of South African wildlife: III. Helminths of common reedbuck, Redunca arundinum, in Natal. Onderstepoort Journal of Veterinary Research, 56: 51-57	yes	no
Tragelaphus angasii	Cooperia	Boomker, J., Horak, I. G., and J. R. B. Flamand (1991) Parasites of South African Wildlife. XII. Helminths of nyala, Tragelaphus angasii in Natal. Onderstepoort Journal of Veterinary Research, 58: 275-280	yes	no
Damaliscus pygargus	Cooperia rotundispiculum	Boomker, J., Horak, I. G., Watermeyer, R., and D. G. Booyse (2000) Parasites of South African wildlife. XVI. Helminths of some antelope species from the Eastern and Western Cape Provinces. Onderstepoort Journal of Veterinary Research, 67: 31-41	yes	no
